Price,Close,High,Low,Open,Volume,Log_Returns,Normalized_Log_Returns
Ticker,8874.5302734375,^FTSE,^FTSE,^FTSE,^FTSE,,
Datetime,8874.5302734375,^FTSE,^FTSE,^FTSE,^FTSE,0.0,
2025-06-24 14:00:00+00:00,8771.4697265625,8782.8798828125,8758.01953125,8760.33984375,0,0.0012491676301397989,0.9555487692361024
2025-06-24 15:00:00+00:00,8766.0400390625,8776.1103515625,8764.509765625,8775.580078125,0,-0.0006192085131869154,-0.2805094080280958
2025-06-25 07:00:00+00:00,8789.3203125,8792.2197265625,8758.169921875,8758.990234375,0,0.0026522140950540367,1.6441915212523808
2025-06-25 08:00:00+00:00,8769.8701171875,8789.650390625,8768.3896484375,8789.16015625,0,-0.0022153872464015334,-1.3139073344054844
2025-06-25 09:00:00+00:00,8758.830078125,8770.6201171875,8757.9404296875,8769.8798828125,0,-0.001259653071737169,-0.6981811794738244
2025-06-25 10:00:00+00:00,8754.5,8760.759765625,8752.6103515625,8759.3701171875,0,-0.0004944894196496303,-0.21083201584106923
2025-06-25 11:00:00+00:00,8761.8603515625,8763.7802734375,8753.3095703125,8754.5498046875,0,0.000840397416811779,0.5365374124209947
2025-06-25 12:00:00+00:00,8753.599609375,8762.7900390625,8744.3896484375,8761.83984375,0,-0.0009432515981201121,-0.5081588817550416
2025-06-25 13:00:00+00:00,8725.259765625,8753.6796875,8716.25,8753.6103515625,0,-0.003242759493159286,-1.7144913677956364
2025-06-25 14:00:00+00:00,8726.41015625,8738.009765625,8722.1396484375,8725.0595703125,0,0.00013183731205276312,0.20285162692060174
2025-06-25 15:00:00+00:00,8722.1201171875,8725.48046875,8719.75,8724.66015625,0,-0.0004917364479089879,-0.1331383662412883
2025-06-26 07:00:00+00:00,8724.5498046875,8734.3896484375,8707.8896484375,8718.75,0,0.00027852736672245875,0.25129762344954726
2025-06-26 08:00:00+00:00,8732.26953125,8733.400390625,8722.990234375,8724.6298828125,0,0.0008844368400860958,0.6190286216101459
2025-06-26 09:00:00+00:00,8737.009765625,8738.6396484375,8725.0302734375,8732.2900390625,0,0.0005426937666727931,0.6247894160045748
2025-06-26 10:00:00+00:00,8752.33984375,8752.4404296875,8737.0703125,8737.0703125,0,0.0017530762885445575,1.3210773965041824
2025-06-26 11:00:00+00:00,8752.48046875,8757.099609375,8749.3603515625,8752.509765625,0,1.6067002973175133e-05,0.15314308710445937
2025-06-26 12:00:00+00:00,8740.419921875,8753.2998046875,8734.669921875,8752.76953125,0,-0.001378907844515479,-0.7236164662279506
2025-06-26 13:00:00+00:00,8734.9501953125,8754.7099609375,8734.73046875,8740.2998046875,0,-0.0006259926633241467,-0.19723428921817351
2025-06-26 14:00:00+00:00,8748.0302734375,8751.1201171875,8730.169921875,8734.919921875,0,0.0014963215898892825,1.1081205309461344
2025-06-26 15:00:00+00:00,8743.2900390625,8752.900390625,8742.2998046875,8747.98046875,0,-0.0005420099119286023,-0.3180902315565193
2025-06-27 07:00:00+00:00,8779.2998046875,8779.9697265625,8736.0703125,8736.0703125,0,0.004110102061242198,2.447264510028175
2025-06-27 08:00:00+00:00,8786.0498046875,8786.0498046875,8771.98046875,8779.490234375,0,0.0007685586091217922,0.39406560182611344
2025-06-27 09:00:00+00:00,8780.419921875,8787.6796875,8777.1201171875,8786.1103515625,0,-0.0006409805832236358,-0.3793632175394549
2025-06-27 10:00:00+00:00,8788.900390625,8788.900390625,8772.4697265625,8780.41015625,0,0.000965372508186984,0.5774574782566395
2025-06-27 11:00:00+00:00,8787.01953125,8793.4296875,8781.58984375,8789.009765625,0,-0.00021402684929615226,-0.2581555558170229
2025-06-27 12:00:00+00:00,8777.830078125,8791.3798828125,8773.5302734375,8786.8603515625,0,-0.0010463458746051146,-0.8025150745437656
2025-06-27 13:00:00+00:00,8769.7099609375,8782.1904296875,8757.2802734375,8777.8603515625,0,-0.0009254992721521641,-0.6565042484147453
2025-06-27 14:00:00+00:00,8775.150390625,8781.240234375,8759.41015625,8770.330078125,0,0.0006201736295254397,0.33958741967529427
2025-06-27 15:00:00+00:00,8793.150390625,8795.099609375,8775.0,8775.1298828125,0,0.002049145961538794,1.2860618584068686
2025-06-30 07:00:00+00:00,8791.7802734375,8818.3701171875,8787.4697265625,8798.91015625,0,-0.00015582855758111856,-0.407979315466938
2025-06-30 08:00:00+00:00,8773.650390625,8798.01953125,8773.650390625,8791.7900390625,0,-0.0020642692567196747,-1.6900473728898124
2025-06-30 09:00:00+00:00,8771.740234375,8784.5595703125,8769.8603515625,8773.3896484375,0,-0.00021773881224679628,-0.3480827108791602
2025-06-30 10:00:00+00:00,8802.6103515625,8803.1796875,8770.0595703125,8771.830078125,0,0.003513091284479289,1.9773949335397376
2025-06-30 11:00:00+00:00,8786.5,8802.6396484375,8781.7197265625,8802.2998046875,0,-0.0018318557045368302,-1.2812021735761154
2025-06-30 12:00:00+00:00,8777.830078125,8787.01953125,8777.25,8786.490234375,0,-0.0009872192723070724,-0.6925722663529156
2025-06-30 13:00:00+00:00,8768.6103515625,8781.5302734375,8765.8095703125,8778.0302734375,0,-0.0010508943335773965,-0.6897348821238976
2025-06-30 14:00:00+00:00,8776.4501953125,8782.6201171875,8764.599609375,8768.6298828125,0,0.0008936810734666551,0.42244653212854755
2025-06-30 15:00:00+00:00,8771.900390625,8777.849609375,8765.98046875,8776.48046875,0,-0.0005185450070840284,-0.44874679571689446
2025-07-01 07:00:00+00:00,8777.509765625,8788.3603515625,8760.7001953125,8760.7001953125,0,0.0006392665213344607,0.29416700093152975
2025-07-01 08:00:00+00:00,8755.1298828125,8777.740234375,8751.8896484375,8777.3603515625,0,-0.0025529407341214998,-1.5344388288430477
2025-07-01 09:00:00+00:00,8738.849609375,8758.0302734375,8737.1904296875,8754.9404296875,0,-0.0018612435374867954,-1.109639051130182
2025-07-01 10:00:00+00:00,8727.48046875,8748.419921875,8726.919921875,8738.8603515625,0,-0.0013018352658886682,-0.6589711607494773
2025-07-01 11:00:00+00:00,8739.2099609375,8741.009765625,8727.669921875,8727.669921875,0,0.0013430699991955417,1.043419116239935
2025-07-01 12:00:00+00:00,8734.48046875,8745.51953125,8728.4404296875,8739.2998046875,0,-0.0005413272396032034,-0.15519423638455573
2025-07-01 13:00:00+00:00,8761.6904296875,8768.1904296875,8734.419921875,8734.419921875,0,0.0031103929005315764,1.9459529806414178
2025-07-01 14:00:00+00:00,8773.919921875,8782.48046875,8754.76953125,8761.7998046875,0,0.0013948181928135099,0.8374127882978757
2025-07-01 15:00:00+00:00,8789.6103515625,8790.83984375,8772.919921875,8773.919921875,0,0.0017867061595583647,0.9704046141174444
2025-07-02 07:00:00+00:00,8796.490234375,8828.1396484375,8784.5595703125,8785.330078125,0,0.0007824228150932361,0.38266597252447865
2025-07-02 08:00:00+00:00,8804.6396484375,8805.740234375,8789.26953125,8796.4501953125,0,0.0009260103980936292,0.5126684933535709
