,Datetime,2025-06-12 13:30:00+00:00,2025-06-12 14:30:00+00:00,2025-06-12 15:30:00+00:00,2025-06-12 16:30:00+00:00,2025-06-12 17:30:00+00:00,2025-06-12 18:30:00+00:00,2025-06-12 19:30:00+00:00,2025-06-13 13:30:00+00:00,2025-06-13 14:30:00+00:00,2025-06-13 15:30:00+00:00,2025-06-13 16:30:00+00:00,2025-06-13 17:30:00+00:00,2025-06-13 18:30:00+00:00,2025-06-13 19:30:00+00:00,2025-06-16 13:30:00+00:00,2025-06-16 14:30:00+00:00,2025-06-16 15:30:00+00:00,2025-06-16 16:30:00+00:00,2025-06-16 17:30:00+00:00,2025-06-16 18:30:00+00:00,2025-06-16 19:30:00+00:00,2025-06-17 13:30:00+00:00,2025-06-17 14:30:00+00:00,2025-06-17 15:30:00+00:00,2025-06-17 16:30:00+00:00,2025-06-17 17:30:00+00:00,2025-06-17 18:30:00+00:00,2025-06-17 19:30:00+00:00,2025-06-18 13:30:00+00:00,2025-06-18 14:30:00+00:00,2025-06-18 15:30:00+00:00,2025-06-18 16:30:00+00:00,2025-06-18 17:30:00+00:00,2025-06-18 18:30:00+00:00,2025-06-18 19:30:00+00:00,2025-06-20 13:30:00+00:00,2025-06-20 14:30:00+00:00,2025-06-20 15:30:00+00:00,2025-06-20 16:30:00+00:00,2025-06-20 17:30:00+00:00,2025-06-20 18:30:00+00:00,2025-06-20 19:30:00+00:00,2025-06-23 13:30:00+00:00,2025-06-23 14:30:00+00:00,2025-06-23 15:30:00+00:00,2025-06-23 16:30:00+00:00,2025-06-23 17:30:00+00:00,2025-06-23 18:30:00+00:00,2025-06-23 19:30:00+00:00,2025-06-24 13:30:00+00:00,2025-06-24 14:30:00+00:00,2025-06-24 15:30:00+00:00,2025-06-24 16:30:00+00:00,2025-06-24 17:30:00+00:00,2025-06-24 18:30:00+00:00,2025-06-24 19:30:00+00:00,2025-06-25 13:30:00+00:00,2025-06-25 14:30:00+00:00,2025-06-25 15:30:00+00:00,2025-06-25 16:30:00+00:00,2025-06-25 17:30:00+00:00,2025-06-25 18:30:00+00:00,2025-06-25 19:30:00+00:00,2025-06-26 13:30:00+00:00,2025-06-26 14:30:00+00:00,2025-06-26 15:30:00+00:00,2025-06-26 16:30:00+00:00,2025-06-26 17:30:00+00:00,2025-06-26 18:30:00+00:00,2025-06-26 19:30:00+00:00,2025-06-27 13:30:00+00:00,2025-06-27 14:30:00+00:00,2025-06-27 15:30:00+00:00,2025-06-27 16:30:00+00:00,2025-06-27 17:30:00+00:00,2025-06-27 18:30:00+00:00,2025-06-27 19:30:00+00:00,2025-06-30 13:30:00+00:00,2025-06-30 14:30:00+00:00,2025-06-30 15:30:00+00:00,2025-06-30 16:30:00+00:00,2025-06-30 17:30:00+00:00,2025-06-30 18:30:00+00:00,2025-06-30 19:30:00+00:00,2025-07-01 13:30:00+00:00,2025-07-01 14:30:00+00:00,2025-07-01 15:30:00+00:00,2025-07-01 16:30:00+00:00,2025-07-01 17:30:00+00:00,2025-07-01 18:30:00+00:00,2025-07-01 19:30:00+00:00,2025-07-02 13:30:00+00:00,2025-07-02 14:30:00+00:00,2025-07-02 15:30:00+00:00,2025-07-02 16:30:00+00:00,2025-07-02 17:30:00+00:00,2025-07-02 18:30:00+00:00,2025-07-02 19:30:00+00:00,2025-07-03 13:30:00+00:00,2025-07-03 14:30:00+00:00,2025-07-03 15:30:00+00:00,2025-07-07 13:30:00+00:00,2025-07-07 14:30:00+00:00,2025-07-07 15:30:00+00:00,2025-07-07 16:30:00+00:00,2025-07-07 17:30:00+00:00,2025-07-07 18:30:00+00:00,2025-07-07 19:30:00+00:00,2025-07-08 13:30:00+00:00,2025-07-08 14:30:00+00:00,2025-07-08 15:30:00+00:00,2025-07-08 16:30:00+00:00,2025-07-08 17:30:00+00:00,2025-07-08 18:30:00+00:00,2025-07-08 19:30:00+00:00,2025-07-09 13:30:00+00:00,2025-07-09 14:30:00+00:00,2025-07-09 15:30:00+00:00,2025-07-09 16:30:00+00:00,2025-07-09 17:30:00+00:00,2025-07-09 18:30:00+00:00,2025-07-09 19:30:00+00:00,2025-07-10 13:30:00+00:00,2025-07-10 14:30:00+00:00,2025-07-10 15:30:00+00:00,2025-07-10 16:30:00+00:00,2025-07-10 17:30:00+00:00,2025-07-10 18:30:00+00:00,2025-07-10 19:30:00+00:00,2025-07-11 13:30:00+00:00,2025-07-11 14:30:00+00:00,2025-07-11 15:30:00+00:00,2025-07-11 16:30:00+00:00,2025-07-11 17:30:00+00:00,2025-07-11 18:30:00+00:00,2025-07-11 19:30:00+00:00,2025-07-14 13:30:00+00:00,2025-07-14 14:30:00+00:00,2025-07-14 15:30:00+00:00,2025-07-14 16:30:00+00:00,2025-07-14 17:30:00+00:00,2025-07-14 18:30:00+00:00,2025-07-14 19:30:00+00:00,2025-07-15 13:30:00+00:00,2025-07-15 14:30:00+00:00,2025-07-15 15:30:00+00:00,2025-07-15 16:30:00+00:00,2025-07-15 17:30:00+00:00,2025-07-15 18:30:00+00:00,2025-07-15 19:30:00+00:00,2025-07-16 13:30:00+00:00,2025-07-16 14:30:00+00:00,2025-07-16 15:30:00+00:00,2025-07-16 16:30:00+00:00,2025-07-16 17:30:00+00:00,2025-07-16 18:30:00+00:00,2025-07-16 19:30:00+00:00,2025-07-17 13:30:00+00:00,2025-07-17 14:30:00+00:00,2025-07-17 15:30:00+00:00,2025-07-17 16:30:00+00:00,2025-07-17 17:30:00+00:00,2025-07-17 18:30:00+00:00,2025-07-17 19:30:00+00:00,2025-07-18 13:30:00+00:00,2025-07-18 14:30:00+00:00,2025-07-18 15:30:00+00:00,2025-07-18 16:30:00+00:00,2025-07-18 17:30:00+00:00,2025-07-18 18:30:00+00:00,2025-07-18 19:30:00+00:00,2025-07-21 13:30:00+00:00,2025-07-21 14:30:00+00:00,2025-07-21 15:30:00+00:00,2025-07-21 16:30:00+00:00,2025-07-21 17:30:00+00:00,2025-07-21 18:30:00+00:00,2025-07-21 19:30:00+00:00,2025-07-22 13:30:00+00:00,2025-07-22 14:30:00+00:00,2025-07-22 15:30:00+00:00,2025-07-22 16:30:00+00:00,2025-07-22 17:30:00+00:00,2025-07-22 18:30:00+00:00,2025-07-22 19:30:00+00:00,2025-07-23 13:30:00+00:00,2025-07-23 14:30:00+00:00,2025-07-23 15:30:00+00:00,2025-07-23 16:30:00+00:00,2025-07-23 17:30:00+00:00,2025-07-23 18:30:00+00:00,2025-07-23 19:30:00+00:00,2025-07-24 13:30:00+00:00,2025-07-24 14:30:00+00:00,2025-07-24 15:30:00+00:00,2025-07-24 16:30:00+00:00,2025-07-24 17:30:00+00:00,2025-07-24 18:30:00+00:00,2025-07-24 19:30:00+00:00,2025-07-25 13:30:00+00:00,2025-07-25 14:30:00+00:00,2025-07-25 15:30:00+00:00,2025-07-25 16:30:00+00:00,2025-07-25 17:30:00+00:00,2025-07-25 18:30:00+00:00,2025-07-25 19:30:00+00:00
AAPL,0.0,0.0,0.00042046553216153404,0.0022180906015780424,0.003368097613368245,-0.0025627235144474575,0.0006789870805495349,0.0015825892154376518,-0.01540417302700894,0.006884031355265825,-0.001215817744972822,0.0,-0.005041349391017264,-0.0002955360663562876,0.0011714455136026057,0.010028425716374443,-0.005634907318659608,-0.0011917019009735545,0.0040257712344929876,0.0005744060007166639,0.0012936906838664328,0.0006303342395853425,-0.003990374241607894,0.0,0.00017714627741861135,-0.0055564921201174304,-0.005408439781289404,0.0019421913647161928,-0.0010217480730771453,0.007233012571877097,-0.0006101189069080945,5.485389573286197e-05,-0.004533257730852047,-0.0007653335884819961,-0.0013791562413677442,0.0031131241111301963,0.012306096712232388,-0.005096489044101724,0.004139784368602225,-0.0008568240409995689,0.0074849781351509,0.0006003658564229636,0.005039099534269787,0.0021465608552029224,-0.004189073637739444,-0.0019487190458414958,0.0064714466429755335,0.0012452942551090162,-0.0016365382736266865,0.0009421657244430954,-0.0028206611963070213,0.001976851225917891,0.005299232669810645,-0.0024232361697755153,-0.0019329392982386474,-0.00019850431380526908,-0.006171964829809904,0.010677275613368016,-0.0016809037957297205,-0.001138752929617392,-0.0036227216985574733,-0.0006196772534373986,0.0007181406779202746,0.002185923066232332,-0.009218981826204042,-0.00030040836510238485,0.002165015509363535,0.0005854827657742443,0.003688704806253129,0.0009698118391911496,-0.001168823017768965,0.0031804200017274188,-0.0009841524990836328,0.0030155827337884113,0.0004454492426927879,-0.0031720852474136758,-0.0015649771032585698,-0.00012427818329195206,-0.0004481518554625773,-0.005186813872449949,0.0017736710287574852,-0.000848972138281483,0.0026943188892380853,0.028928483917375403,-0.007119713170790663,0.021319979698963442,-0.007617478113125105,-0.00036071400038852785,0.001033723312916239,0.0005765571867462794,-9.608199825406835e-05,-0.0015863569178655517,0.021135603987318112,-0.003893566032233586,-0.0026264641924634235,-0.0004846766162942875,0.003654746337663131,0.0016764190274780571,0.002191544871448544,0.006218546291957055,0.0006782001387047623,0.001028091193203201,-0.008160273513809132,-0.0015080461332128594,-0.005691943030102524,-0.005546211847152459,-0.0034877097192145758,0.002435992962778574,0.0023367544140150184,-0.0031487248007548412,0.002818550173761643,0.004560517607158553,-0.004730590624444866,0.0005240869464517832,-0.0016208397980892438,0.0020494141916977343,-0.0005953160604915287,-0.010078780144299731,-2.4011376547337775e-05,0.005354266714341723,0.0039025404127603046,0.0007506805713027984,0.005795746488156081,0.004254089923221753,0.00456482706590834,-0.004234673912289236,0.0025429412809238145,-9.401727872278149e-05,-0.00011764170105371314,-0.0007294146422893431,-0.0029702522744972665,-0.004566795013530805,-0.000901639340057803,0.002513034962362462,0.0011359326193438701,-0.0011595619288082195,-0.0004026512008372951,-0.01453121189502289,0.003526920310848337,0.00036253745481652566,0.0007624999967735917,0.0,0.0009560280055287059,-0.003159442803518563,0.007785881160244544,0.005977221468370111,-0.0035535799449086017,-3.46204085896176e-05,0.003328067776806866,-0.005669535628657451,-0.005582200161774008,0.014605097940092446,-0.009308396520854063,-0.002525548935212578,0.003619615140190605,-0.0014820016853004285,0.0013631015599236398,-0.0004993317251556518,-0.0012852146074357868,0.0023311958694813553,0.004504177276227259,-0.0020599164718589245,0.0015394129428099195,-0.0013498488402298207,-0.004436426560587801,-0.0005080991718627462,0.004257121501220773,0.0007584905454848824,0.0008527141012729106,-0.0012081962159670983,7.110653306034536e-05,0.001279125994013098,0.01608527047243241,-0.005489207278667275,-0.0007048245375646662,0.0016880457713029165,-0.0019674816931565314,-0.0031936561130515638,-0.00018822236309526754,0.0034077077542788922,0.0009925979331943825,-0.0009246293363769999,0.0052897872371617275,-0.0032756507262002607,0.0022201289338983294,0.0009566673191367023,-0.006809338502841349,0.0010086696083047868,0.001640718092297725,0.002923123975604794,0.0013067874825121687,-0.0012367402469177216,0.0007935496747676791,0.0006997185432709923,0.0037233022194943077,-0.004283052118076015,0.0020972531590156608,-0.0002560627524038893,0.0003491925145160402,-0.004900040469993577,0.0038534479652053474,-0.00035098089562695403,-0.0005613987500109106,-0.0010248493370972678,-0.001308222309150031,-0.0018250286551109369,0.002152280373446122
MSFT,0.0,0.0,0.0009858339587358127,0.003578616064280589,0.0012252435048249835,0.0004130243543824167,0.0005318803667563734,-0.001481046743211048,-0.007985366108015927,0.0024694617090731527,0.001604553105897147,-0.0033588202319551536,-0.003180276243139987,0.00034802201778775236,0.0015697743403542907,0.010722156739876502,-0.00012498189813038232,-0.00039590029425582595,0.0006056779021555159,-0.003214166427521722,-8.353817195539752e-05,0.0010651307933701355,-0.006072032793551895,0.001448079348263945,0.0017600397359923807,-0.0022320202927283866,-0.0003775271186318671,0.002368791928697142,0.0009941474504139437,0.0006795901367629883,0.000929834903662495,0.0003758460643015319,-0.001169805586785496,0.0018481120173620147,-0.0016181865871293401,0.003546138786938633,-0.001333522729080968,0.0005627878317289422,-0.00022922449586706384,-0.0018777506897416452,-0.0002610707126379153,-0.0028971905828137955,-0.0002566529326039856,-0.0033110574771676128,0.006986974277733212,0.003407675827203637,0.010936202104397268,0.0017785806631254078,-0.0006164724127233246,-0.0011312083491850792,0.0033385924805743447,0.0059356381377828225,0.0005147084232005608,-0.0004688504283535797,0.001568669318369297,-0.0008145852151990446,-0.0014679525286824752,0.00694353664590608,-0.0019166081652938584,-0.001981307625491011,-0.0019851788003803408,-0.00032660085877149556,0.001385857433622006,0.002602682988835006,0.005690054841472025,-0.0040566874741196825,0.001266316669692612,0.004123751258867948,0.0035813321098719644,-0.0005225696857016648,-0.00024125926161136388,0.0008241031643603591,0.0004117663975089499,9.039794006699649e-05,-0.0009844598280970766,-0.003673227326155571,-0.0015466042925121998,0.001998426565876694,0.00035829640688602994,0.0026771566926912446,0.0008892013955374798,-0.0003025058963895664,0.0007041933075974201,0.0020359852300653697,-0.0037843857097276733,-1.0066996475449811e-05,-0.0067611586623801635,-0.0039058933534297726,0.0027898887513223797,-0.001428729464051805,-0.0005279624203984925,-0.0005486473543762791,-0.0005183538476280168,0.0003557729030035413,0.0004796028858551559,-0.003951527591251265,-0.0003365851038887346,0.0002856003019241709,0.0015491753262330005,0.014771542436973201,0.00030857252873449343,0.000999649945707532,-0.0026561818448325026,0.0004721212205562935,-0.000502295504647669,-0.0022735383198760743,-0.0023998528550580904,0.0027424299972661466,0.002413150089173147,-0.003783486506389335,-0.002169934379139117,0.0022725055909233087,-0.00028411174059029696,0.0003377620768744964,6.552087575888072e-05,0.0012088125067289497,0.01578106278072215,-0.006023333799472426,-0.0008777053555604502,0.0007580691468558599,0.002638771552439437,-0.0009451776743379551,0.002306629857450954,-0.009860167199250534,0.003054250810264962,0.0004198401722041325,0.0012785080435412592,0.0009478275137511163,0.00031900840628262036,-5.98139312302042e-05,-3.985765766083188e-05,0.0025689974876250163,0.0038113850806947365,-0.00032693031595592485,-0.0005253927119706792,-0.001740837204829006,-0.00046271788426759125,-0.0032248328624056503,0.002817298901870885,-0.0009647178824172183,0.0004774974851183547,0.0003579735458269746,0.0001391975596680668,-5.964505611138946e-05,0.005373834732709408,0.0032183987078605114,7.886565090072369e-05,-0.0008874318135288231,0.002128490746729559,-0.0027008101666863606,-0.0018770452305255975,-0.003784625611274225,0.0014432297475806507,-0.0011057709556468451,0.0030911263979292196,0.0006328530229498075,9.889048086429112e-05,-0.0005735077888379827,0.008950416195786811,0.0035519891620124865,0.0018638113166461038,-5.355722954250422e-05,-0.0013149557455612733,-0.00010464188054102504,-0.0004688179944595155,-0.0025724226274818217,-0.0003624258537427615,-0.0031105276651860595,0.00419741140678415,0.0012450631060034114,-0.0028611738195455237,-0.0002352753231752803,0.0026437805954724904,-0.0017127565450970965,-9.16582749364579e-05,0.001021995521140682,-0.00080299820571772,-0.0007446550179111769,0.00015684704687450024,-0.0024591418767672536,-0.0013899300132321382,-0.0028965276766091046,0.0015576956515547624,-0.003079462660276108,-0.00013715773842950442,-0.001067867885034358,-0.005476114778218404,-0.0004676816494147822,0.001819636592461339,0.0017655508294566532,0.0022794421692958386,8.900941464608289e-05,0.0011371013917647048,0.00565623668615285,0.0033549340009422354,0.0022108632395521337,0.0019133896956676339,-0.00013644728441068057,-0.0018160086331303839,-0.0015843321244575772,0.0033515200166223625,0.00283467619924967,0.0007487366902434855,0.001893552236427527,0.003563757139585806,-0.0013735909038929614,-0.0053189358547794646
AMZN,0.0,0.0,-0.001409148533571943,0.0039895510323545245,-0.0031678982512804237,0.0014798402460562497,-0.00023476162042604116,0.0012670012638247474,-0.015715662824283314,0.013603077439740582,0.004407783867232951,-0.002267577909225539,-0.0039040615526824596,-0.004033242078058445,0.002549255689469629,0.011997507766193292,0.006361883164842969,-0.0034777805299206024,0.0025747572416245364,-0.0003707306926544566,0.0025228197706096255,-0.0006474559143764674,-0.0008331001306791807,0.0011568452040612344,0.0026787464754884833,-0.0036962107489454214,-0.004919743208707902,0.0006046317100766801,-0.0012561553343795131,0.013632321085002631,-0.005241582338787784,-0.005648332516126921,-0.0026259884663386115,0.0016974912223858957,-0.003071146368689956,-0.009295923791050426,-0.008812873520149114,-0.0028518775223185483,-0.000857108032382736,-0.002862489916821906,0.003219707546356101,-0.006329951911113264,0.004516743404974918,0.0011701248693311188,-0.00467091197331674,-0.0011118310785108976,0.004113463549285696,-0.0010745919811215737,-0.000908247420404849,-0.002897807077516522,0.0199455613152466,0.0034733924104392846,-7.02835577196928e-05,0.0015835060370500377,-0.000811087134343154,-4.6369753782513474e-05,-0.003706022034228898,0.005156540801085552,-0.000468568222963548,-0.004147674743010625,-0.003175705940119114,-0.0028786532320676877,0.0007879400533814891,0.0013835731027260403,0.005924178081979083,0.01278587957355025,-0.0009029476128136771,0.0014119269360060996,0.007167464477914412,-0.0035704181332851187,0.0008109496854543412,0.013176699903348325,-0.0017059222796289397,0.00018214265668791378,-0.0023471218940884233,-0.0077871169363314344,0.010270789328895625,0.01582731667709174,-0.006382104483785012,-0.0017450098275152133,-0.007882320150242294,0.0009101186330529652,-0.0012971074756515585,0.0010468865876067193,-0.0018670057110820907,0.000455712493219648,0.0010336569587389903,-0.0023556843751705004,0.00667169549643004,0.000783177815476579,0.0038400244463059757,-0.005654204896371186,-0.0006806302996023614,0.0014514747479720024,0.0014046171652616207,-0.0028334429461452223,-0.0002487511799674254,-0.0016367469131887964,-4.545333579172141e-05,0.008829365813283193,0.003956024190199032,0.0013026372042402711,0.004029503937804916,-0.00013399191583991934,-0.0036471594432231948,-0.0004708276002346673,-0.0019754976560959507,0.003141042720315096,0.0012088430234576818,-0.010571119522588492,-0.006123745485918975,0.005264142029642969,-0.0017214268478002233,-0.00040811890070451934,-0.003521382582781518,-0.0016172335269070413,0.016055352843725258,-0.002335734246461986,0.00013489569927565707,0.0009586348688392903,-0.000913627941470058,0.0007672073990646121,-0.0004974827169077083,-0.009983624744744152,0.006221909973794914,0.0020296699341465258,0.0009225837943418438,0.0013936607610241052,-0.0024288616288862482,0.0009902382882189143,0.009383568543101784,0.0006879116443193992,0.0032464172961126623,0.0014191309253494494,0.002302534949817987,-0.00137207225845622,-0.003549352832789587,0.0014017351263629096,0.0025461901076761916,0.0005089471064216423,-0.001062491453024219,-0.001351970744078453,-0.0005168816466626466,0.0013150014630809743,0.005436578674113528,-0.0007937908307405318,-0.00035292346148646547,-0.0028283533594056264,0.003864888363316954,-0.0023746276664411785,1.3283258371361254e-05,-0.004517498573870237,-0.004783247478308904,-0.0037759977661656545,-0.0014785362200011724,0.0007619307478078819,-4.477925962171131e-05,-8.963290817716512e-05,-0.002465693906351695,0.005105913584092204,-0.00035759804308498267,0.00017884910851283698,0.0009828943243309087,0.00020091831797785863,2.234447343955358e-05,-0.00277186503980895,0.005135241617594823,0.0015576266314972407,0.0046806635610486,0.00017700452008788815,-0.0002213112025763162,0.0009070175998235859,0.00801663692513933,-0.0008339109982621658,0.003112633553228289,0.00205901078128931,0.0018290671808281124,-0.0003929402692518773,0.00021848186998478874,-0.009024056198558188,-0.0012769129752726715,-0.0022699459242307243,0.004690295166122806,-0.001275452810108982,0.0026371591068141786,-0.0013177102276398648,0.001953926941211291,-0.0025254900429462243,0.0013184631010361623,0.002634730371851553,0.00038672421121905957,-0.0012223639272337574,0.0007450015248287737,0.011239017819071405,0.005120062746999413,-0.00010778763006298042,-2.1506304883305855e-05,0.0010123991649724857,-0.0011202007329747916,0.0011588988583969835,-0.0035697419129044534,0.003035720091015156,0.0005383580210781283,-0.0021335774388336667,0.00015096011616983558,-0.00020495051352984446,-0.0012629555658617293
NVDA,0.0,0.0,0.002677147247626962,-8.345028256699754e-06,-0.0008310487194464797,0.001004167383956084,0.0019361674524184763,0.0016910505181435224,-0.026556438974448576,0.012083267516869261,0.0011083760023939267,-0.002939827653481509,-0.007422894948365073,-0.0006711377092059197,0.003210288418035314,0.017595685025006573,0.006827464469127477,0.0033298429997924263,-0.0022635432463329855,-0.0027161611188366262,-0.0017918303179379185,-0.0020715588984600627,-0.0018777058366368552,0.0007711031497993525,0.0035230221067376432,-0.001311039949079592,-0.004498185278250904,0.000666304938602261,-0.0016377809463590611,0.008158850188445959,-0.0015850299463844675,0.001998094038961532,-0.0009986005396626708,-0.0005857743041401388,-0.0060166984188385585,0.008908054988888095,-0.005825702662972345,-0.005026250260429154,0.0003828282039214658,-0.003270259084217467,0.004658596732634509,-0.002535882669919441,-6.88733701810864e-05,-0.0010437626261483096,0.0012523844821771732,-0.006138018244052931,0.010272495082603804,-0.0034400563417562795,-0.00045104796768363574,0.0022915212177255584,0.019540800337832724,-0.0007825499555257781,0.0017682496112828437,0.00020392742307187917,0.001053083848562229,-0.0008255677619603472,0.0040771731274387565,0.029165331130126336,-0.0010188742352180175,0.0006002363504178537,0.011493330641318748,0.0002098730870353638,-0.0011563856776634668,0.003607061666440471,0.013763927416801823,-0.009561104537973899,0.00428289407846968,0.0025990214106031096,0.00035248504026863916,-0.003984686207150025,-0.0024749628528036136,0.014976934985583635,0.003107793851952932,-0.0013947575476163927,-0.0013008763891789112,-0.007521039690093184,0.0010551262949431747,0.008147195305841225,-0.004128917308598086,-0.0003190188081064993,0.004194380765814378,0.0007320493379389915,-0.0015573957953204675,0.002314317918739454,-0.00047503891748004333,-0.020736680549577235,-0.011349229207716725,0.0033303528734803045,0.005720362914062393,0.0004970790651362793,-0.004035974577166593,-0.0029314828738556393,0.01811139590779066,0.0018153508652635204,0.004648153752096307,0.0007120146036098852,-0.0015940696614022342,-0.00043018319135293046,0.0022443669538833124,0.021330278478999373,-0.005149337845717548,-0.0026648722860826038,-0.006734283171755142,-0.00018951185908376973,-0.0003791314964450334,0.0006242562454929981,-0.003123928636620205,0.0030057595973108486,-0.0003796619261280419,0.005231500365733829,6.282889549966238e-05,0.004077631204081029,-0.0009081253466175928,-0.00028210530690414717,0.002222744127632354,0.0006571062776683577,0.018997071356516695,0.0017236212495863488,-0.0004898771055851742,-0.004327361496993397,0.0015366651019911534,0.00021496729047171172,-0.00012284618029187054,-0.0025826982862639917,0.0011488458884859692,0.004161212145571421,0.0010589351047499542,0.0017256856829842774,0.0020134961365755846,0.0002742411296020185,0.019640105486098493,-0.0051812966966494,-9.788392916834784e-05,-0.0017820066674477377,-0.0030180684792406732,-0.0035462173511370647,-0.0013031069889380801,-0.007060307116300126,0.006300040190080935,0.0013059473170543754,0.0006671239849268499,-0.0015767567993874904,-0.0025314276198814233,-0.002029375485430627,0.044747092345494656,-0.0011278473164147633,0.0,-0.005030577948401356,0.002265780785049653,-0.004173998237295045,0.0020548664622406015,-0.003436553460449379,0.0024310526611276825,9.627035660922288e-05,0.0029727400212106133,0.0006007880581135828,-0.0013166530632425057,0.0032736938309008033,0.009236980821618017,0.0010692992876096688,0.004294850243179656,-0.0008061808214933401,-0.002426411573916085,-8.07441174012387e-05,-0.001002315576304213,-0.005917768929221543,0.0004072555368442142,-3.137600535318987e-05,0.002872934455930442,-0.0013620660189365798,-0.002002909134696283,0.0018579350359502079,0.00399510653136827,-0.0022089132788825645,-0.0038801277501291846,0.0030494203459400745,0.0008689644874640761,-0.004321868030848832,-0.0029118882636158063,-0.03185158271398877,0.010631842597089766,-0.0018430967742383924,0.004252908453161482,-0.002169768635444339,-9.115685369755603e-05,-0.005225530508240578,0.012614020883826958,0.0023227026521464144,-0.005342747971234517,0.002458182200185635,0.009552815407134006,0.0003076185773847231,0.0007026709558038245,0.007348653819076648,0.0034138940127244116,0.0015421987162939892,0.0028142514297675586,0.00013029165246152113,0.0011241488302631219,0.0007477652485118781,0.003916248450699315,-0.0022597710216290794,0.001790252184944445,-0.0028461467620098475,-0.0013489631969422595,0.0008346891403887516,-0.0017564406811453037
TSLA,0.0,0.0,-0.00027568607467747506,-9.191225032672858e-05,-0.0039231590325339155,-0.0168505907108233,-0.0005006685791819324,-0.0010177703567501954,-0.014914383651066036,0.013895672093786185,0.01774961947242912,0.023146380186617164,-0.015913579953559954,0.0003946055568321965,-0.00519627246504001,0.014342576448541032,0.0005168298672057474,0.003323746819655758,-0.006297759392911399,0.0035170847303833096,-0.002363562181138143,-0.0015484641132259866,-0.01889444660234992,-0.008801640031222465,0.0025582871324864136,-0.007364908811425299,-0.009572179221524505,0.00556209696868549,-0.0032513129708366018,0.022169270018715423,0.00499721921470668,-0.0005848118722858994,-0.00876673809411086,0.006115488384663754,-0.0053327726699856776,-0.00037901144777445413,-0.005920713042351408,-0.0014802072588828068,0.01127425185196684,-0.005784500909086396,0.005815457350826951,-0.006406656196967654,0.002735229544671878,0.09143119222630339,0.0010617139450420242,-0.011068742714748298,0.004624469799721034,-0.0018597962299620816,-0.0049071267551023,-0.0001205017758405837,-0.020717254821086623,0.006638514397787565,-0.004708057618544848,5.8408128823061675e-05,0.0006426208095735033,-0.0017827753950631902,-0.004013581721931675,-0.057392071873516984,0.014145696086588626,-0.0006902927820378029,0.0034924415637144343,-0.005473838276336023,0.007047639864655244,0.00027476022824315927,-0.005049492465352252,-0.0005484443368146691,0.006269286301754734,0.0036369431108691616,-0.006809071938251181,0.003172128827381956,-0.006242587630405559,0.0023609016933567937,-0.003097859315757411,-0.002429787463498286,-0.0007238726939464126,-0.011620212618734626,0.0013832733029096606,0.008061983467178744,-0.013503990487825067,0.0035410236936333265,0.0009664923457695043,-0.003431190339029428,-0.004923912447143233,-0.0021592642778254143,0.00024052227755338561,-0.046496306527936855,-0.007989209984859226,0.008187380027581783,-0.00379943922790676,-0.0035149339263986367,0.006126576984486829,-0.007223434892025384,0.03660047096067354,0.006072808746848965,-0.0014828282680813393,0.006906546904395768,0.001110206701874032,-0.001670369343631987,0.0009508330128998745,-0.005644904494245056,0.007860423306650781,0.002335840687136416,-0.07839861509693842,-0.0012634290473804628,-0.0006826865418293327,-0.004349656839768902,0.00015103667538547423,0.008841129545131785,-0.0001754565196253036,0.016901740616155653,0.009936141339226432,0.0011089403877080127,-0.002372025158330654,0.004618964978502314,-0.019918806996382484,0.0029569908778050973,-0.008030554573964873,0.0016138564978685265,-0.0036561419734777345,-0.0011537816154917775,0.006987187175750278,0.001229927706553174,-0.003778920411471615,0.028427188991936435,0.001103378333360165,-0.002188300748545752,-0.007042013407961872,0.015264186715240876,0.008802016986544864,0.0022449473244610654,0.0033633969506052983,-0.010566944637127568,0.006929582069955475,0.0032539783517218984,0.003532344138762053,0.0023053328569064614,0.0026190801448536605,0.0023885162727054023,0.0004145844859730899,0.0017796914125820427,0.0012616125598819204,-0.0009949802541322115,0.004121998967654752,0.0018470499328433656,0.0023638064849182,-0.011364170927693963,0.000794129544286451,-0.0007639107764372924,0.001823386589355748,-0.010216251965299347,-0.0025557440516936324,0.023918159010068753,0.0041653480585181965,0.005296921355844985,-0.0031492986978871153,-0.0022354996371210497,0.007937866523772492,-0.0011063579058132522,0.0006991542245098108,0.0006994236674206779,-0.004952636218093548,-0.0033401151153479134,-0.0014095627456177063,-0.00025086086452374295,0.0013786699655798712,0.023823947690608457,0.00027698700451261616,0.002730030263219149,-0.0014794598742387513,0.006814928616932325,-0.0029454245227790755,0.002156751309728014,0.001666035249220784,-0.0028720004702041443,-0.001311207915199298,0.0030632937470519454,-9.098396573542142e-05,-0.0009734817760332921,-0.0025815510861883985,-0.002621108893389961,0.006054786065220858,0.0014550198778182323,0.005261126937639809,0.005299542318191687,-0.00041516439294621136,-0.004286492843117159,0.004117102377052506,-0.0010202438976494085,0.0004952348970427177,-0.007272675780944084,0.005904160351390941,0.0029875133633855246,-0.002444464639377382,-0.09177293999991512,-0.004932123202922328,-0.003496941972741541,0.009985776302319713,-0.0014908162205693135,0.009271567281527312,-0.00516572968866517,0.027736412603636122,0.015153224256417715,0.015118860320800485,-0.0171747146443279,0.0019020274336798417,-0.013213916347699204,0.006011295528983445
