Price,Close,High,Low,Open,Volume
Ticker,FEZ,FEZ,FEZ,FEZ,FEZ
Date,,,,,
2024-10-21,49.862117767333984,50.2622637962084,49.81332019757192,50.213466226446336,262100
2024-10-22,49.67668914794922,49.793804068550834,49.60837180068026,49.725486721281875,375400
2024-10-23,49.3643798828125,49.598609722458505,49.149666093956846,49.442455255022445,358500
2024-10-24,49.754764556884766,49.97923637279129,49.549812514928746,49.96947834732414,574000
2024-10-25,49.559566497802734,49.988994043652916,49.481491131385546,49.95971252360756,473700
2024-10-28,50.06707000732422,50.15490712247631,49.76452283970164,49.79380063708036,895800
2024-10-29,49.87187957763672,50.01827602105116,49.73524488272522,49.901161100129336,899500
2024-10-30,49.39365768432617,49.59860972478007,49.13990434784559,49.18870564387228,1266500
2024-10-31,49.04230880737305,49.16918547459286,48.612884956111714,49.16918547459286,1597900
2024-11-01,49.217987060546875,49.4522169174195,49.12039190735269,49.34486373811247,555800
2024-11-04,49.130149841308594,49.53029592548049,49.09111029089757,49.43270077246937,266300
2024-11-05,49.5790901184082,49.76452610869707,49.26678118246675,49.2960589817687,402200
2024-11-06,48.19322204589844,48.32009499777803,47.86139331979726,48.25177764737629,3576100
2024-11-07,49.071590423583984,49.130149749090606,48.690964115332044,48.82759881849772,1853100
2024-11-08,48.173702239990234,48.320094966606796,47.89067108964197,48.31033694070557,1539700
2024-11-11,47.998023986816406,48.38841200460335,47.998023986816406,48.32009093692699,1146300
2024-11-12,47.002540588378906,47.57836089998657,46.78782679397786,47.558841125675904,1860200
2024-11-13,46.758548736572266,46.778068510775455,46.231526002134856,46.71950918816588,4212200
2024-11-14,47.15869140625,47.60763501156478,47.109893835762044,47.471000324992104,2314100
2024-11-15,47.02206039428711,47.21725441450865,46.90494547136069,47.20749266583862,1503200
2024-11-18,47.1782112121582,47.30508787392872,46.83662449548679,46.83662449548679,681900
2024-11-19,46.89518356323242,47.02206023439745,46.43648189874024,46.4755177242388,2053100
2024-11-20,46.67071533203125,46.73903268567656,46.3096087880465,46.68047708141861,1132800
2024-11-21,46.573116302490234,46.63167190187777,46.27056538792843,46.446239632123515,2102800
2024-11-22,46.55359649658203,46.68047316686216,46.29984315602177,46.30960490459053,2371900
2024-11-25,46.79758834838867,47.168456612719325,46.70975122586342,47.13917508986673,1556300
2024-11-26,46.48527908325195,46.91470294426687,46.36816043868915,46.87566339607927,1444000
2024-11-27,46.699989318847656,46.75854864133796,46.48527924908236,46.573116371309695,3293700
2024-11-29,47.402687072753906,47.41244882150357,46.77806918136258,46.80734698157895,1304700
2024-12-02,47.5393180847168,47.62715520157096,46.95373978769975,47.324608028085756,1656100
2024-12-03,47.861392974853516,47.97850789998152,47.5881198521997,47.714996526181245,1396000
2024-12-04,48.20297622680664,48.398170236534334,48.09561933530561,48.222496000081016,1064400
2024-12-05,48.81783676147461,48.8666343338593,48.642162522476816,48.69096009486151,2271900
2024-12-06,48.98374938964844,49.198463176362985,48.86663447099329,49.13014583022947,1577000
2024-12-09,48.964229583740234,49.37413738328708,48.934951784849794,49.30582003719863,889200
2024-12-10,48.53480911254883,48.86663784080119,48.505531311620096,48.86663784080119,788600
2024-12-11,48.69096374511719,48.70072549413562,48.4176943408636,48.63240814307222,2339700
2024-12-12,48.38841247558594,48.79831654753753,48.38841247558594,48.51528541803795,1195100
2024-12-13,48.69096374511719,48.7983206462215,48.486011691927,48.7983206462215,4040000
2024-12-16,48.43721389770508,48.65192397593017,48.39817434784001,48.505531248460755,1231500
2024-12-17,48.44696807861328,48.57384474409684,48.388412481479406,48.47624587718022,1448200
2024-12-18,47.21725082397461,48.72023610245179,47.187969303207446,48.5055260472499,1842100
2024-12-19,47.100135803222656,47.46124604395391,47.051338228885434,47.44172626961577,1836300
2024-12-20,47.11965560913086,47.51004365012275,46.690231742452795,46.73902931682271,3456200
2024-12-23,47.3908805847168,47.3908805847168,46.90130538749932,47.0775527573106,1118800
2024-12-24,47.557334899902344,47.606291673148554,47.19505029568553,47.273380385847,935500
2024-12-26,47.76295471191406,47.79233176345245,47.51816711501387,47.625874255275924,1129800
2024-12-27,47.5671272277832,47.67483063198917,47.351712949046735,47.498583264870646,1133000
2024-12-30,47.17546463012695,47.33212853827568,46.9502604956108,47.25379471662022,1255900
2024-12-31,47.146095275878906,47.58670998664436,47.00901107646381,47.32234265425009,2805400
2025-01-02,46.66630935668945,47.204841346298856,46.66630935668945,47.07755447968229,1906200
2025-01-03,46.940467834472656,46.97963474607984,46.65651706322627,46.930677974152,1665600
2025-01-06,48.14482498168945,48.497319735077994,47.802123824318635,47.85108059891983,2943800
2025-01-07,48.29169845581055,48.84002403612574,48.23294808590314,48.84002403612574,1706200
2025-01-08,48.07628631591797,48.18399346464577,47.74337500856046,47.97837276352683,1025800
2025-01-10,47.67483139038086,48.09586635906583,47.488794159979584,48.09586635906583,1339300
2025-01-13,47.48879623413086,47.48879623413086,47.028594333104806,47.07755484312566,1077400
2025-01-14,47.93920135498047,48.02732503793736,47.7237908128787,47.90003444363024,825400
2025-01-15,48.42877960205078,48.68336080675446,48.28190927794865,48.65398375380404,1259400
2025-01-16,49.172935485839844,49.34918286096319,48.85960764898999,48.93793774062123,2018200
2025-01-17,49.37855529785156,49.78979667569732,49.37855529785156,49.56459253042525,2239100
2025-01-21,50.4849967956543,50.50458025219457,50.103124995862466,50.20104227856387,2486200
2025-01-22,50.59269714355469,50.837484732757474,50.57311742336119,50.788527961949356,1061700
2025-01-23,50.98435974121094,51.092066880116,50.56332478103421,50.70040523594528,1345400
2025-01-24,51.072486877441406,51.37602485895426,51.072486877441406,51.24873425571822,1711200
2025-01-27,51.15081787109375,51.15081787109375,50.75915622214657,50.80811299447439,874300
2025-01-28,50.83749008178711,50.906034050325175,50.445832138950415,50.906034050325175,982500
2025-01-29,50.95499038696289,51.1018607135744,50.76894941069408,50.93540692971551,748900
2025-01-30,51.49352264404297,51.78726703388802,51.268318487323015,51.454355729353615,965200
2025-01-31,51.03331756591797,51.68935027316557,50.92561042479058,51.40539576204105,3557700
2025-02-03,50.09333419799805,50.524159028336825,49.65271577199115,49.868130054741705,2973500
2025-02-04,51.1703987121582,51.1703987121582,50.778740789798846,50.8179077025835,1543100
2025-02-05,51.473934173583984,51.513101084458825,51.18018981234709,51.30748040510922,1760300
2025-02-06,51.904762268066406,52.081009642979694,51.69914157572171,51.73830848907187,2262400
2025-02-07,51.35643768310547,51.992883182874614,51.27810386058248,51.96350986700961,5564300
2025-02-10,51.806846618652344,51.806846618652344,51.52289211112406,51.56205902288567,1754300
2025-02-11,52.34537887573242,52.46287961167593,51.777473592654694,51.777473592654694,1989500
2025-02-12,53.01120376586914,53.118910910964374,52.100593565725326,52.169133797120026,5403100
2025-02-13,53.52035903930664,53.77493649186646,53.03078385463126,53.29515490257543,2671900
2025-02-14,53.88264465332031,54.28409616297096,53.843481476525895,54.19597247864949,1824500
2025-02-18,54.1763916015625,54.34284537108254,54.068684463561425,54.20576491732198,3085200
2025-02-19,53.2951545715332,53.52035870686556,53.118907207331844,53.46160834041104,2444800
2025-02-20,53.65744400024414,53.7847346047967,53.43223984459734,53.6770274574955,2083300
2025-02-21,53.31474304199219,53.71619457928786,53.19724603319317,53.70640098304311,1351300
2025-02-24,53.17765808105469,53.5497325333293,53.128697574294435,53.5399426730746,1646400
2025-02-25,53.725982666015625,54.00014732437553,53.46161160357702,53.79452289681499,2671200
2025-02-26,53.88264465332031,54.50930030397866,53.745564196634085,54.068685617533596,1620700
2025-02-27,52.72724914550781,53.47140556377401,52.72724914550781,53.47140556377401,3195600
2025-02-28,52.9328727722168,53.236407010320754,52.39433705591156,52.991619406604705,2791700
2025-03-03,53.970767974853516,54.67575744468642,53.569316467901395,54.50929993757041,2981500
2025-03-04,54.12743377685547,54.70513267144184,52.785998753384966,53.26578410048039,3617400
2025-03-05,55.860530853271484,56.01719477145567,55.263248497956006,55.27304209387139,6756200
2025-03-06,55.37095642089844,56.222816254559575,55.25345941439819,55.47866356650803,4721900
2025-03-07,56.056358337402344,56.154271879734665,55.302412108924365,55.351368880090526,3236200
2025-03-10,54.53868103027344,55.19471004152057,54.09806257897776,54.979299481569115,2763000
2025-03-11,54.626800537109375,54.969501675671005,54.068685119930564,54.92054490375681,2487600
2025-03-12,54.636592864990234,54.881380470778865,54.35263834583643,54.881380470778865,2559900
2025-03-13,54.00993728637695,54.47013918131744,53.91202373795501,54.186184661666395,2602700
2025-03-14,55.30241775512695,55.33179107379313,54.705135374497374,54.89117635315009,1930400
2025-03-17,55.93886184692383,56.03677539014421,55.34157952185768,55.459076520754586,1443900
2025-03-18,56.154273986816406,56.29135818045258,55.811572840631854,56.09552735327754,1815200
2025-03-19,56.252193450927734,56.47739760361156,55.86053178137869,55.978028788178406,3389900
2025-03-20,55.3807487487793,55.4492889789318,55.00867054569256,55.0282540021879,1954700
2025-03-21,54.84221267700195,54.94012995884295,54.607218670908324,54.82263295579614,4638200
2025-03-24,54.84810256958008,55.005175922179845,54.592859775952,54.74011393749446,2607700
2025-03-25,55.37822723388672,55.505850504764354,55.15243452074886,55.43713114619736,1204700
2025-03-26,54.30816650390625,55.014998506666,54.082373779674526,54.779386590771296,2122400
2025-03-27,54.26889419555664,54.50450609828969,53.994016763138205,54.13145547934742,3250200
2025-03-28,54.00383377075195,54.21981104242483,53.817310328349905,54.01365296215032,1380500
2025-03-31,53.41481018066406,53.503164179564905,52.85523610260017,53.110478907800214,3067400
2025-04-01,53.620967864990234,53.89584905115425,53.32645578581561,53.58170233404475,2733800
2025-04-02,53.905662536621094,54.01365116887226,53.28718457140705,53.33627303692059,1273300
2025-04-03,52.59999084472656,53.46389241044733,52.49200221278044,53.32645369521558,5404900
2025-04-04,49.35053253173828,50.88200056080341,49.33089789413081,50.75437728881693,6680400
2025-04-07,47.99577331542969,50.342058248169316,47.21040652234675,47.66199196025391,7837400
2025-04-08,47.33802795410156,49.35053145333818,46.75881926457257,49.29162754180292,6842900
2025-04-09,51.62809753417969,52.06004832232812,47.593271297992146,47.89760256039109,8387300
2025-04-10,50.81327819824219,51.14705955259176,49.53705669452589,50.842732027545324,4262700
2025-04-11,51.78517150878906,51.981514140271685,50.64638874009892,50.80346209630017,5155600
2025-04-14,52.138587951660156,52.61962347082176,51.667367878942486,52.04041476259966,2656800
2025-04-15,52.48218536376953,52.78651663602366,52.36438128044586,52.49200455525234,1433300
2025-04-16,52.325111389160156,52.93377018158793,52.128768755979635,52.51163857589755,1542000
2025-04-17,52.78651428222656,53.07121090374449,52.43309830309039,52.65889101311092,4162500
2025-04-21,52.15822219848633,53.01230833982698,51.84407548569611,52.88468506746714,4951700
2025-04-22,53.581703186035156,53.70932271725471,52.99267527339564,53.09084846463106,4199500
2025-04-23,54.25907897949219,54.84810312143677,54.09218643415592,54.40633314251625,2838500
2025-04-24,55.034629821777344,55.05426445899329,54.38670177334778,54.563409763367126,1475700
2025-04-25,55.39786148071289,55.43713075530976,54.98554158729403,55.05426469030063,1483600
2025-04-28,55.653106689453125,55.653106689453125,55.28005979937601,55.48621788256457,1041900
2025-04-29,55.47639846801758,55.554937020301864,55.260424939084366,55.29969421522651,1587700
2025-04-30,55.221153259277344,55.39786124930096,54.59285984804853,54.90700655366294,1463700
2025-05-01,55.270240783691406,55.54512197374171,55.17207133755336,55.50585269731676,2269400
2025-05-02,56.35993957519531,56.575916853339415,56.17341612720455,56.31085485150557,3370300
2025-05-05,56.4875602722168,56.67408371168664,56.399206275641774,56.59554890635562,1021900
2025-05-06,56.41884231567383,56.52683095249705,56.24213431813115,56.33048831690249,1049200
