Price,Close,High,Low,Open,Volume
Ticker,VGT,VGT,VGT,VGT,VGT
datetime,,,,,
2025-08-01 13:30:00+00:00,678.469970703125,683.2449951171875,671.1099853515625,683.1599731445312,277879
2025-08-01 14:30:00+00:00,675.2750244140625,680.0999755859375,675.2750244140625,678.786376953125,129452
2025-08-01 15:30:00+00:00,679.6799926757812,681.0599975585938,675.25,675.5499877929688,79337
2025-08-01 16:30:00+00:00,673.0786743164062,679.4500122070312,672.72998046875,679.1649780273438,89642
2025-08-01 17:30:00+00:00,675.0,675.1295166015625,671.1099853515625,673.25,92429
2025-08-01 18:30:00+00:00,674.469970703125,676.8718872070312,673.6300048828125,674.8300170898438,69409
2025-08-01 19:30:00+00:00,674.5,676.5399780273438,673.6199951171875,674.4500122070312,96770
2025-08-04 13:30:00+00:00,687.6699829101562,687.7999877929688,680.989990234375,680.989990234375,161253
2025-08-04 14:30:00+00:00,686.7550048828125,688.2999877929688,685.9478759765625,687.1715698242188,61219
2025-08-04 15:30:00+00:00,688.469970703125,688.739990234375,686.0491943359375,686.5499877929688,44869
2025-08-04 16:30:00+00:00,689.094970703125,689.3900146484375,688.2750244140625,688.5999755859375,32850
2025-08-04 17:30:00+00:00,688.665771484375,689.6134033203125,688.155029296875,689.25,58223
2025-08-04 18:30:00+00:00,688.1500244140625,689.2999877929688,687.9199829101562,688.7623901367188,66994
2025-08-04 19:30:00+00:00,689.6900024414062,689.6900024414062,687.4014282226562,687.719970703125,84093
2025-08-05 13:30:00+00:00,687.530029296875,692.239990234375,686.7000122070312,691.5700073242188,141504
2025-08-05 14:30:00+00:00,683.3499755859375,687.8400268554688,681.5599975585938,687.8350219726562,96840
2025-08-05 15:30:00+00:00,685.5700073242188,686.0399780273438,681.8099975585938,683.7100219726562,79111
2025-08-05 16:30:00+00:00,685.3499755859375,686.7000122070312,683.2000122070312,685.510009765625,218573
2025-08-05 17:30:00+00:00,685.0,687.4650268554688,685.0,685.4349975585938,39668
2025-08-05 18:30:00+00:00,684.969970703125,685.1799926757812,682.8049926757812,684.719970703125,49469
2025-08-05 19:30:00+00:00,683.405029296875,685.1799926757812,683.1699829101562,685.1799926757812,41861
2025-08-06 13:30:00+00:00,685.5449829101562,689.0985107421875,684.6099853515625,685.1300048828125,129732
2025-08-06 14:30:00+00:00,688.9349975585938,689.0,685.1099853515625,685.4550170898438,67358
2025-08-06 15:30:00+00:00,689.2949829101562,690.739990234375,688.5399780273438,689.094970703125,60740
