Price,Close,High,Low,Open,Volume
Ticker,^HSI,^HSI,^HSI,^HSI,^HSI
datetime,,,,,
2024-08-07 01:30:00+00:00,16976.0390625,16983.80078125,16684.779296875,16684.779296875,0
2024-08-07 05:30:00+00:00,16877.859375,16988.259765625,16805.5703125,16974.890625,0
2024-08-08 01:30:00+00:00,16981.220703125,17023.099609375,16665.060546875,16773.0390625,0
2024-08-08 05:30:00+00:00,16891.830078125,16983.58984375,16842.919921875,16980.279296875,0
2024-08-09 01:30:00+00:00,17135.939453125,17252.220703125,17079.349609375,17097.359375,0
2024-08-09 05:30:00+00:00,17090.23046875,17164.73046875,17090.23046875,17131.1796875,0
2024-08-12 01:30:00+00:00,17109.130859375,17162.759765625,17002.9296875,17102.98046875,0
2024-08-12 05:30:00+00:00,17111.650390625,17133.5390625,17062.740234375,17108.939453125,0
2024-08-13 01:30:00+00:00,17130.48046875,17252.880859375,17074.689453125,17160.2109375,0
2024-08-13 05:30:00+00:00,17174.060546875,17183.0390625,17097.859375,17131.720703125,0
2024-08-14 01:30:00+00:00,17079.66015625,17254.23046875,17055.69921875,17233.6796875,0
2024-08-14 05:30:00+00:00,17113.359375,17118.0703125,17063.599609375,17080.310546875,0
2024-08-15 01:30:00+00:00,17111.169921875,17283.650390625,16926.470703125,17008.2109375,0
2024-08-15 05:30:00+00:00,17109.140625,17129.44921875,17032.169921875,17112.400390625,0
2024-08-16 01:30:00+00:00,17424.689453125,17449.359375,17255.859375,17286.0390625,0
2024-08-16 05:30:00+00:00,17430.16015625,17473.890625,17396.26953125,17420.0703125,0
2024-08-19 01:30:00+00:00,17572.6796875,17685.859375,17555.029296875,17569.66015625,0
2024-08-19 05:30:00+00:00,17569.5703125,17607.849609375,17547.650390625,17572.05078125,0
2024-08-20 01:30:00+00:00,17503.470703125,17661.689453125,17482.310546875,17661.689453125,0
2024-08-20 05:30:00+00:00,17511.080078125,17511.080078125,17449.990234375,17504.169921875,0
2024-08-21 01:30:00+00:00,17348.099609375,17415.48046875,17232.130859375,17313.859375,0
2024-08-21 05:30:00+00:00,17391.009765625,17391.009765625,17319.099609375,17349.91015625,0
2024-08-22 01:30:00+00:00,17483.609375,17537.740234375,17389.939453125,17497.630859375,0
2024-08-22 05:30:00+00:00,17641.0,17652.80078125,17479.939453125,17480.900390625,0
2024-08-23 01:30:00+00:00,17578.419921875,17610.25,17493.080078125,17521.1796875,0
2024-08-23 05:30:00+00:00,17612.099609375,17635.69921875,17546.580078125,17567.16015625,0
2024-08-26 01:30:00+00:00,17747.30078125,17826.05078125,17709.26953125,17709.26953125,0
2024-08-26 05:30:00+00:00,17798.73046875,17820.41015625,17741.970703125,17748.189453125,0
2024-08-27 01:30:00+00:00,17781.330078125,17813.130859375,17624.419921875,17663.80078125,0
2024-08-27 05:30:00+00:00,17874.669921875,17879.26953125,17778.5390625,17779.9609375,0
2024-08-28 01:30:00+00:00,17687.830078125,17879.009765625,17659.2890625,17847.990234375,0
2024-08-28 05:30:00+00:00,17692.44921875,17723.75,17664.0703125,17686.830078125,0
2024-08-29 01:30:00+00:00,17661.119140625,17687.509765625,17502.529296875,17614.41015625,0
2024-08-29 05:30:00+00:00,17786.3203125,17797.169921875,17646.33984375,17646.33984375,0
2024-08-30 01:30:00+00:00,18133.939453125,18153.0390625,17778.099609375,17794.41015625,0
2024-08-30 05:30:00+00:00,17989.0703125,18202.599609375,17989.0703125,18129.4609375,0
2024-09-02 01:30:00+00:00,17708.310546875,17862.58984375,17652.75,17862.58984375,0
2024-09-02 05:30:00+00:00,17691.970703125,17730.060546875,17645.919921875,17709.58984375,0
2024-09-03 01:30:00+00:00,17621.0703125,17725.509765625,17583.69921875,17665.9296875,0
2024-09-03 05:30:00+00:00,17651.490234375,17670.580078125,17602.30078125,17622.029296875,0
2024-09-04 01:30:00+00:00,17428.16015625,17531.05078125,17333.30078125,17474.740234375,0
2024-09-04 05:30:00+00:00,17457.33984375,17464.900390625,17390.6796875,17430.130859375,0
2024-09-05 01:30:00+00:00,17373.55078125,17555.609375,17344.83984375,17469.9609375,0
2024-09-05 05:30:00+00:00,17444.30078125,17444.30078125,17332.490234375,17374.0703125,0
2024-09-09 01:30:00+00:00,17129.2109375,17305.91015625,17088.279296875,17261.890625,0
2024-09-09 05:30:00+00:00,17196.9609375,17196.9609375,17067.44921875,17122.060546875,0
2024-09-10 01:30:00+00:00,17261.900390625,17295.529296875,17133.5,17205.419921875,0
2024-09-10 05:30:00+00:00,17234.08984375,17297.94921875,17234.08984375,17262.349609375,0
2024-09-11 01:30:00+00:00,16978.6796875,17078.4296875,16964.279296875,17051.83984375,0
