Price,Close,High,Low,Open,Volume
Ticker,^RUT,^RUT,^RUT,^RUT,^RUT
datetime,,,,,
2024-09-16 00:00:00+00:00,2189.169921875,2192.1201171875,2178.39990234375,2186.1298828125,3437070000
2024-09-17 00:00:00+00:00,2205.47998046875,2229.0,2199.169921875,2199.169921875,3443600000
2024-09-18 00:00:00+00:00,2206.340087890625,2259.25,2197.85009765625,2206.510009765625,3691390000
2024-09-19 00:00:00+00:00,2252.7099609375,2258.780029296875,2233.280029296875,2233.280029296875,4024530000
2024-09-20 00:00:00+00:00,2227.889892578125,2249.1298828125,2227.18994140625,2249.1298828125,7867260000
2024-09-23 00:00:00+00:00,2220.280029296875,2238.409912109375,2215.260009765625,2230.97998046875,3529550000
2024-09-24 00:00:00+00:00,2223.989990234375,2230.3798828125,2212.8798828125,2228.75,3872710000
2024-09-25 00:00:00+00:00,2197.449951171875,2224.090087890625,2196.889892578125,2223.889892578125,3624910000
2024-09-26 00:00:00+00:00,2209.8701171875,2227.889892578125,2206.330078125,2223.22998046875,4391180000
2024-09-27 00:00:00+00:00,2224.699951171875,2243.64990234375,2218.7900390625,2229.949951171875,3898530000
2024-09-30 00:00:00+00:00,2229.969970703125,2234.1298828125,2209.8798828125,2216.429931640625,4425730000
2024-10-01 00:00:00+00:00,2197.030029296875,2223.570068359375,2186.860107421875,2223.1201171875,4025180000
2024-10-02 00:00:00+00:00,2195.010009765625,2204.510009765625,2184.739990234375,2189.280029296875,3829050000
2024-10-03 00:00:00+00:00,2180.14990234375,2189.389892578125,2173.300048828125,2181.75,3597450000
2024-10-04 00:00:00+00:00,2212.800048828125,2214.860107421875,2196.1201171875,2211.139892578125,3479400000
2024-10-07 00:00:00+00:00,2193.090087890625,2206.090087890625,2181.239990234375,2206.090087890625,3637790000
2024-10-08 00:00:00+00:00,2194.97998046875,2201.909912109375,2188.239990234375,2194.050048828125,3393400000
2024-10-09 00:00:00+00:00,2200.590087890625,2213.139892578125,2190.4599609375,2194.239990234375,3650340000
2024-10-10 00:00:00+00:00,2188.419921875,2188.419921875,2170.610107421875,2186.56005859375,3208790000
2024-10-11 00:00:00+00:00,2234.409912109375,2234.9599609375,2188.6298828125,2188.6298828125,3208720000
2024-10-14 00:00:00+00:00,2248.639892578125,2250.22998046875,2228.25,2233.699951171875,3005250000
2024-10-15 00:00:00+00:00,2249.820068359375,2272.159912109375,2243.7099609375,2246.52001953125,3882120000
2024-10-16 00:00:00+00:00,2286.679931640625,2289.489990234375,2260.139892578125,2260.139892578125,3467230000
2024-10-17 00:00:00+00:00,2280.85009765625,2288.639892578125,2272.010009765625,2287.409912109375,3480010000
2024-10-18 00:00:00+00:00,2276.090087890625,2287.14990234375,2275.489990234375,2283.760009765625,3374490000
2024-10-21 00:00:00+00:00,2239.7099609375,2275.60009765625,2238.300048828125,2275.330078125,3407010000
2024-10-22 00:00:00+00:00,2231.530029296875,2235.77001953125,2225.06005859375,2235.77001953125,3342080000
2024-10-23 00:00:00+00:00,2213.840087890625,2226.409912109375,2195.469970703125,2224.64990234375,3532650000
2024-10-24 00:00:00+00:00,2218.919921875,2227.0,2206.35009765625,2216.989990234375,3543030000
2024-10-25 00:00:00+00:00,2207.989990234375,2236.68994140625,2207.239990234375,2225.77001953125,3501280000
2024-10-28 00:00:00+00:00,2244.070068359375,2247.3798828125,2217.669921875,2217.669921875,3691280000
2024-10-29 00:00:00+00:00,2238.090087890625,2238.090087890625,2221.75,2236.510009765625,3879100000
2024-10-30 00:00:00+00:00,2233.0400390625,2260.47998046875,2229.7900390625,2232.659912109375,3851120000
2024-10-31 00:00:00+00:00,2196.64990234375,2232.159912109375,2196.64990234375,2231.3701171875,4425660000
2024-11-01 00:00:00+00:00,2210.1298828125,2227.35009765625,2202.179931640625,2202.179931640625,3796450000
2024-11-04 00:00:00+00:00,2219.030029296875,2233.18994140625,2200.300048828125,2206.56005859375,3602060000
2024-11-05 00:00:00+00:00,2260.840087890625,2260.919921875,2212.27001953125,2216.6201171875,3768310000
2024-11-06 00:00:00+00:00,2392.919921875,2393.85009765625,2300.97998046875,2300.97998046875,6329530000
2024-11-07 00:00:00+00:00,2382.68994140625,2402.360107421875,2378.169921875,2391.260009765625,4925740000
2024-11-08 00:00:00+00:00,2399.639892578125,2401.909912109375,2376.419921875,2384.080078125,4666740000
2024-11-11 00:00:00+00:00,2434.97998046875,2441.719970703125,2411.699951171875,2411.699951171875,4333000000
2024-11-12 00:00:00+00:00,2391.85009765625,2432.39990234375,2387.81005859375,2428.139892578125,4243400000
2024-11-13 00:00:00+00:00,2369.3701171875,2414.550048828125,2368.469970703125,2401.85009765625,4220180000
2024-11-14 00:00:00+00:00,2336.93994140625,2379.590087890625,2333.27001953125,2374.139892578125,4184570000
2024-11-15 00:00:00+00:00,2303.840087890625,2346.449951171875,2297.52001953125,2339.9599609375,4590960000
2024-11-18 00:00:00+00:00,2306.340087890625,2322.070068359375,2301.8701171875,2306.52001953125,3983860000
2024-11-19 00:00:00+00:00,2324.830078125,2325.06005859375,2284.199951171875,2295.780029296875,4036940000
2024-11-20 00:00:00+00:00,2325.530029296875,2325.8798828125,2303.7900390625,2323.31005859375,3772620000
2024-11-21 00:00:00+00:00,2364.02001953125,2372.25,2331.4599609375,2331.4599609375,4230120000
2024-11-22 00:00:00+00:00,2406.669921875,2409.219970703125,2366.43994140625,2366.43994140625,4141420000
2024-11-25 00:00:00+00:00,2442.030029296875,2466.489990234375,2419.080078125,2419.080078125,5633150000
2024-11-26 00:00:00+00:00,2424.31005859375,2439.02001953125,2415.919921875,2439.02001953125,3835170000
2024-11-27 00:00:00+00:00,2426.18994140625,2449.860107421875,2424.510009765625,2430.1298828125,3363340000
2024-11-29 00:00:00+00:00,2434.72998046875,2445.639892578125,2433.0,2433.0,2444420000
2024-12-02 00:00:00+00:00,2434.139892578125,2442.610107421875,2420.7099609375,2437.2099609375,4412470000
2024-12-03 00:00:00+00:00,2416.35009765625,2435.31005859375,2412.85009765625,2433.909912109375,4095000000
2024-12-04 00:00:00+00:00,2426.56005859375,2430.030029296875,2412.739990234375,2419.10009765625,4003390000
2024-12-05 00:00:00+00:00,2396.169921875,2425.81005859375,2395.159912109375,2425.0400390625,4212020000
2024-12-06 00:00:00+00:00,2408.989990234375,2414.179931640625,2401.77001953125,2408.090087890625,3924830000
2024-12-09 00:00:00+00:00,2392.840087890625,2428.159912109375,2392.699951171875,2418.830078125,4556460000
2024-12-10 00:00:00+00:00,2382.77001953125,2402.659912109375,2378.610107421875,2392.429931640625,4048410000
2024-12-11 00:00:00+00:00,2394.159912109375,2407.739990234375,2386.3701171875,2399.050048828125,4269950000
2024-12-12 00:00:00+00:00,2361.080078125,2391.860107421875,2360.590087890625,2387.3798828125,3678010000
2024-12-13 00:00:00+00:00,2346.89990234375,2361.840087890625,2336.280029296875,2357.800048828125,3584960000
2024-12-16 00:00:00+00:00,2361.989990234375,2370.429931640625,2339.739990234375,2344.8701171875,4391100000
2024-12-17 00:00:00+00:00,2334.080078125,2354.56005859375,2329.260009765625,2350.7900390625,4544500000
2024-12-18 00:00:00+00:00,2231.510009765625,2349.97998046875,2215.739990234375,2342.280029296875,5246960000
2024-12-19 00:00:00+00:00,2221.5,2265.35009765625,2217.14990234375,2251.090087890625,4896880000
2024-12-20 00:00:00+00:00,2242.3701171875,2264.47998046875,2194.89990234375,2201.7099609375,8223220000
2024-12-23 00:00:00+00:00,2237.43994140625,2241.909912109375,2219.419921875,2239.090087890625,3593280000
2024-12-24 00:00:00+00:00,2259.85009765625,2259.85009765625,2233.31005859375,2240.25,1757720000
2024-12-26 00:00:00+00:00,2280.18994140625,2281.830078125,2243.800048828125,2248.800048828125,2904530000
2024-12-27 00:00:00+00:00,2244.590087890625,2273.800048828125,2227.169921875,2268.969970703125,3159610000
2024-12-30 00:00:00+00:00,2227.780029296875,2237.919921875,2202.669921875,2230.830078125,3433250000
2024-12-31 00:00:00+00:00,2230.159912109375,2250.39990234375,2224.530029296875,2237.929931640625,3128350000
2025-01-02 00:00:00+00:00,2231.669921875,2261.75,2219.919921875,2241.820068359375,3621680000
2025-01-03 00:00:00+00:00,2268.469970703125,2269.050048828125,2237.72998046875,2237.72998046875,3667340000
2025-01-06 00:00:00+00:00,2266.64990234375,2292.300048828125,2264.419921875,2275.7099609375,4940120000
2025-01-07 00:00:00+00:00,2249.800048828125,2286.179931640625,2236.550048828125,2271.31005859375,4517330000
2025-01-08 00:00:00+00:00,2238.9599609375,2241.889892578125,2211.7099609375,2236.1201171875,4441740000
2025-01-10 00:00:00+00:00,2189.22998046875,2215.22998046875,2176.030029296875,2215.22998046875,4751930000
2025-01-13 00:00:00+00:00,2194.39990234375,2194.68994140625,2158.6298828125,2176.489990234375,4421200000
2025-01-14 00:00:00+00:00,2219.239990234375,2221.330078125,2194.85009765625,2206.159912109375,4142280000
2025-01-15 00:00:00+00:00,2263.2900390625,2278.169921875,2252.739990234375,2256.56005859375,4544570000
2025-01-16 00:00:00+00:00,2266.7900390625,2273.0400390625,2252.889892578125,2261.969970703125,4285810000
2025-01-17 00:00:00+00:00,2275.8798828125,2289.969970703125,2269.219970703125,2281.659912109375,4366830000
2025-01-21 00:00:00+00:00,2317.969970703125,2318.81005859375,2286.39990234375,2286.39990234375,4702920000
2025-01-22 00:00:00+00:00,2303.719970703125,2318.6298828125,2301.89990234375,2316.139892578125,4323040000
2025-01-23 00:00:00+00:00,2314.60009765625,2314.719970703125,2289.27001953125,2296.110107421875,4432250000
2025-01-24 00:00:00+00:00,2307.739990234375,2322.27001953125,2303.14990234375,2312.3798828125,4214250000
2025-01-27 00:00:00+00:00,2284.02001953125,2311.7900390625,2273.669921875,2290.14990234375,5198750000
2025-01-28 00:00:00+00:00,2288.860107421875,2294.669921875,2275.080078125,2287.110107421875,4473640000
2025-01-29 00:00:00+00:00,2283.10009765625,2300.8701171875,2269.110107421875,2286.570068359375,4115310000
