Price,Close,High,Low,Open,Volume,Log_Returns,Normalized_Log_Returns
Ticker,316.2900085449219,TSLA,TSLA,TSLA,TSLA,,
Datetime,316.2900085449219,TSLA,TSLA,TSLA,TSLA,0.0,
2025-07-31 13:30:00+00:00,316.2900085449219,321.3699035644531,315.94000244140625,319.5849914550781,17499945,0.0,
2025-07-31 14:30:00+00:00,312.4200134277344,317.3999938964844,311.5,316.2900085449219,13931655,-0.01231106189045175,
2025-07-31 15:30:00+00:00,313.5899963378906,314.1000061035156,311.7300109863281,312.44989013671875,9088220,0.003737909152093751,
2025-07-31 16:30:00+00:00,309.8840026855469,314.0799865722656,309.5899963378906,313.6000061035156,8250697,-0.01188834596548188,
2025-07-31 17:30:00+00:00,308.4349975585937,311.6499938964844,306.1000061035156,309.85009765625,13304064,-0.004686926259546397,
2025-07-31 18:30:00+00:00,310.2001037597656,310.989990234375,308.3301086425781,308.3900146484375,9202235,0.005706468925821805,
2025-07-31 19:30:00+00:00,308.19000244140625,310.7464904785156,307.94000244140625,310.2900085449219,6588832,-0.00650110141746306,
2025-08-01 13:30:00+00:00,304.5450134277344,308.7598876953125,297.82000732421875,306.2049865722656,27589787,-0.011897580244591626,
2025-08-01 14:30:00+00:00,304.8550109863281,307.364990234375,303.8800048828125,304.57000732421875,11502966,0.0010173861926934587,
2025-08-01 15:30:00+00:00,307.17999267578125,309.30999755859375,304.75,304.8550109863281,9716761,0.007597581377930925,
2025-08-01 16:30:00+00:00,303.23638916015625,307.239990234375,302.739990234375,307.19500732421875,8847095,-0.012921207558336364,
2025-08-01 17:30:00+00:00,303.29998779296875,304.8599853515625,301.3800048828125,303.2349853515625,10531506,0.00020971086141641123,
2025-08-01 18:30:00+00:00,301.9800109863281,304.6000061035156,301.1600036621094,303.2615966796875,7831289,-0.004361548049849461,
2025-08-01 19:30:00+00:00,302.6099853515625,303.6700134277344,301.1000061035156,301.8900146484375,7145836,0.0020839729305660304,
2025-08-04 13:30:00+00:00,309.0400085449219,312.114990234375,305.55010986328125,309.05499267578125,23374894,0.021025946680046755,
2025-08-04 14:30:00+00:00,306.19500732421875,309.07000732421875,303.0000915527344,309.0567932128906,16039049,-0.009248568194146052,
2025-08-04 15:30:00+00:00,308.65008544921875,308.989990234375,305.6200866699219,306.1300048828125,8853940,0.007986047874368352,
2025-08-04 16:30:00+00:00,308.489990234375,309.75,306.79998779296875,308.6700134277344,8158255,-0.0005188294351413935,
2025-08-04 17:30:00+00:00,309.39080810546875,310.1799011230469,307.48699951171875,308.4800109863281,6043622,0.002915832671122022,0.47321083682978676
2025-08-04 18:30:00+00:00,308.99249267578125,310.8299865722656,308.92010498046875,309.385009765625,6327458,-0.0012882478691476106,-0.014269256327631366
2025-08-04 19:30:00+00:00,309.2998962402344,309.95001220703125,308.05999755859375,308.9649963378906,5121919,0.0009943631695711415,0.2484944268176837
2025-08-05 13:30:00+00:00,307.9649963378906,312.44989013671875,305.5,308.95001220703125,18192096,-0.004325215963020993,-0.4440039831309035
2025-08-05 14:30:00+00:00,306.9599914550781,308.4999084472656,305.6199951171875,307.94110107421875,9123703,-0.003268710160072713,-0.27255710569178776
2025-08-05 15:30:00+00:00,307.0799865722656,308.1899108886719,306.3999938964844,306.8999938964844,5008661,0.00039083813109529495,0.11031283793571695
2025-08-05 16:30:00+00:00,308.07000732421875,308.1698913574219,306.0317077636719,307.0295104980469,4816012,0.003218797420297781,0.4292236634655079
2025-08-05 17:30:00+00:00,309.25,310.9142150878906,308.0013122558594,308.1000061035156,7136367,0.003822957619756516,0.5250291379261699
2025-08-05 18:30:00+00:00,309.635009765625,310.625,308.65008544921875,309.2699890136719,5238186,0.001244204688164885,0.13600526896396142
2025-08-05 19:30:00+00:00,308.67999267578125,310.1199951171875,308.4100036621094,309.6600036621094,4602111,-0.0030890980989058086,-0.5442567917073349
2025-08-06 13:30:00+00:00,314.86090087890625,317.3500061035156,307.4700012207031,307.8900146484375,21248663,0.019825838925215323,2.238562515966303
2025-08-06 14:30:00+00:00,318.4949951171875,319.5,314.5700988769531,314.8900146484375,13465860,0.011475804183902488,1.1606349342178246
2025-08-06 15:30:00+00:00,317.2049865722656,319.55999755859375,316.70001220703125,318.489990234375,9756646,-0.0040585507403254235,-0.8176548814707786
2025-08-06 16:30:00+00:00,318.53350830078125,318.7099914550781,316.2099914550781,317.2049865722656,6401192,0.004179465843602664,0.22418263180547982
2025-08-06 17:30:00+00:00,319.5899963378906,319.75,317.8599853515625,318.54998779296875,7170602,0.0033112367581907705,0.06325873659619186
2025-08-06 18:30:00+00:00,319.2951965332031,320.4700012207031,318.8399963378906,319.5799865722656,8317323,-0.0009228569667901122,-0.4750752294437314
2025-08-06 19:30:00+00:00,319.9599914550781,320.135009765625,318.4200134277344,319.2699890136719,6303663,0.0020799054087491937,0.05503122293194558
2025-08-07 13:30:00+00:00,319.29998779296875,322.3999938964844,318.1000061035156,319.6099853515625,18459664,-0.002064899784268169,-0.7212991930942115
2025-08-07 14:30:00+00:00,317.935302734375,320.2900085449219,317.6199951171875,319.2749938964844,9751098,-0.004283149929654672,-1.0007488954188857
2025-08-07 15:30:00+00:00,320.82501220703125,320.9599914550781,317.67999267578125,317.94000244140625,8224665,0.00904792961892319,1.1854189153177865
2025-08-07 16:30:00+00:00,318.3900146484375,321.15948486328125,317.94000244140625,320.81500244140625,7676656,-0.007618748729717936,-1.4270684856521814
2025-08-07 17:30:00+00:00,317.34649658203125,318.8500061035156,316.1600036621094,318.3900146484375,6561795,-0.003282866361005259,-0.720941360277411
2025-08-07 18:30:00+00:00,318.95001220703125,319.1435852050781,316.67999267578125,317.260009765625,5407177,0.005040162871839397,0.5427400382865282
